1 50 0 0
2 50 50 0
3 0 50 0
4 0 0 0
5 50 0 15
6 50 50 15
7 0 50 15
8 0 0 15
9 40 24 20
10 40 26 20
11 10 26 20
12 10 24 20
13 8 0 7
14 8 0 0
15 11 0 7
16 11 0 0
17 35 0 10
18 35 0 0
19 45 0 0
20 45 0 10
21 14 0 8
22 14 0 4
23 20 0 4
24 20 0 8
25 0 10 8
26 0 10 4
27 0 16 4
28 0 16 8
33 50 13 8
34 50 13 4
35 50 19 4
36 50 19 8
29 20 50 9
30 20 50 2
31 30 50 2
32 30 50 9

Faces:
1 2 6 10 9 5.
1 2 6 5.
3 4 8 12 11 7.
3 4 8 7.
2 3 7 6.
7 6 10 11.
4 1 5 8.
9 10 11 12.
1 4 3 2.
13 14 16 15.
17 18 19 20.
21 22 23 24.
25 26 27 28.
29 30 31 32.
33 34 35 36.
